defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
PLANP:0000001	abnormal cytoplasmic vesicle part	PLANA:0000514	cytoplasmic vesicle part
PLANP:0000002	abnormal medial-lateral axis	PLANA:0007522	medial-lateral axis
PLANP:0000003	abnormal oviduct lumen	PLANA:0004530	oviduct lumen
PLANP:0000004	abnormal Category 4 cell	PLANA:0000018	Category 4 cell
PLANP:0000006	abnormal zygote	PLANA:0000098	zygote
PLANP:0000008	abnormal male primordial germ cell	PLANA:0000218	male primordial germ cell
PLANP:0000009	abnormal yolk cell	PLANA:0000107	yolk cell
PLANP:0000010	abnormal fission plane	PLANA:0007558	fission plane
PLANP:0000011	abnormal central nervous system neuron	PLANA:0000562	central nervous system neuron
PLANP:0000012	abnormal pharynx musculature	PLANA:0000478	pharynx musculature
PLANP:0000014	abnormal collecting duct	PLANA:0000047	collecting duct
PLANP:0000015	abnormal nucleolus	PLANA:0000533	nucleolus
PLANP:0000016	abnormal outer longitudinal muscle cell	PLANA:0000078	outer longitudinal muscle cell
PLANP:0000017	abnormal tail stripe	PLANA:0000422	tail stripe
PLANP:0000019	abnormal Smed sexual biotype	PLANA:0000027	Smed sexual biotype
PLANP:0000020	abnormal rough endoplasmic reticulum	PLANA:0007514	rough endoplasmic reticulum
PLANP:0000021	abnormal renal system	PLANA:0000088	renal system
PLANP:0000022	abnormal brain commissure	PLANA:0000494	brain commissure
PLANP:0000023	abnormal oviduct	PLANA:0000205	oviduct
PLANP:0000027	abnormal primitive ectoderm surface	PLANA:0004512	primitive ectoderm surface
PLANP:0000029	abnormal neoblast	PLANA:0000429	neoblast
PLANP:0000032	abnormal reproductive system product	PLANA:0000215	reproductive system product
PLANP:0000033	abnormal pharynx inner longitudinal muscle cell	PLANA:0000475	pharynx inner longitudinal muscle cell
PLANP:0000036	abnormal tail	PLANA:0000421	tail
PLANP:0000038	abnormal prepharyngeal region	PLANA:0000419	prepharyngeal region
PLANP:0000039	abnormal extracellular organelle	PLANA:0007511	extracellular organelle
PLANP:0000041	abnormal distal tubule epithelial cell	PLANA:0000115	distal tubule epithelial cell
PLANP:0000042	abnormal proximal tubule	PLANA:0000087	proximal tubule
PLANP:0000043	abnormal organ	PLANA:0000431	organ
PLANP:0000044	abnormal pigment cup cell	PLANA:0000031	pigment cup cell
PLANP:0000045	abnormal glial cell	PLANA:0007528	glial cell
PLANP:0000046	abnormal eye	PLANA:0000036	eye
PLANP:0000047	abnormal goblet cell	PLANA:0000067	goblet cell
PLANP:0000048	abnormal gastrodermis surface	PLANA:0000411	gastrodermis surface
PLANP:0000050	abnormal bipolar neuron	PLANA:0000546	bipolar neuron
PLANP:0000051	abnormal definitive pharynx	PLANA:0000016	definitive pharynx
PLANP:0000052	abnormal ventral epidermis	PLANA:0000096	ventral epidermis
PLANP:0000053	abnormal cintillo+ sensory neuron	PLANA:0007544	cintillo+ sensory neuron
PLANP:0000054	abnormal pharynx lumen	PLANA:0000404	pharynx lumen
PLANP:0000056	abnormal sigma neoblast	PLANA:0000009	sigma neoblast
PLANP:0000057	abnormal inner longitudinal muscle cell	PLANA:0000069	inner longitudinal muscle cell
PLANP:0000058	abnormal pharynx epithelium	PLANA:0004528	pharynx epithelium
PLANP:0000059	abnormal extraembryonic cell	PLANA:0004518	extraembryonic cell
PLANP:0000060	abnormal head	PLANA:0000418	head
PLANP:0000065	abnormal copulatory apparatus	PLANA:0000232	copulatory apparatus
PLANP:0000067	abnormal intracellular non-membrane-bounded organelle	PLANA:0000519	intracellular non-membrane-bounded organelle
PLANP:0000069	abnormal Stage 1	PLANA:0000001	Stage 1
PLANP:0000070	abnormal autonomic neuron	PLANA:0000565	autonomic neuron
PLANP:0000071	abnormal basal surface of the epidermis	PLANA:0000410	basal surface of the epidermis
PLANP:0000076	abnormal embryonic gut cell	PLANA:0000059	embryonic gut cell
PLANP:0000078	abnormal rhabdite	PLANA:0000104	rhabdite
PLANP:0000079	abnormal protonephridia	PLANA:0000020	protonephridia
PLANP:0000080	abnormal round spermatid	PLANA:0000237	round spermatid
PLANP:0000082	abnormal basal lamina of epithelium	PLANA:0001005	basal lamina of epithelium
PLANP:0000083	abnormal mechanoreceptor cell	PLANA:0000133	mechanoreceptor cell
PLANP:0000084	abnormal Stage 6	PLANA:0000006	Stage 6
PLANP:0000085	abnormal pharynx outer nerve plexus	PLANA:0000480	pharynx outer nerve plexus
PLANP:0000088	abnormal peripheral nervous system neuron	PLANA:0000564	peripheral nervous system neuron
PLANP:0000090	abnormal embryonic digestive system	PLANA:0000058	embryonic digestive system
PLANP:0000091	abnormal muscle cell	PLANA:0000101	muscle cell
PLANP:0000092	abnormal dopaminergic neuron	PLANA:0000482	dopaminergic neuron
PLANP:0000093	abnormal aboral hemisphere	PLANA:0000041	aboral hemisphere
PLANP:0000094	abnormal cell-cell adhesion	PLANA:0000508	cell-cell adhesion
PLANP:0000095	abnormal nuclear pore	PLANA:0007516	nuclear pore
PLANP:0000096	abnormal sensory cell	PLANA:0000462	sensory cell
PLANP:0000097	abnormal ribosome	PLANA:0000537	ribosome
PLANP:0000099	abnormal gamma neoblast	PLANA:0000039	gamma neoblast
PLANP:0000103	abnormal posterior pole	PLANA:0007525	posterior pole
PLANP:0000104	abnormal oocyte	PLANA:0000074	oocyte
PLANP:0000105	abnormal sperm duct epithelium	PLANA:0004533	sperm duct epithelium
PLANP:0000108	abnormal gamete	PLANA:0000122	gamete
PLANP:0000109	abnormal embryonic pharynx	PLANA:0000023	embryonic pharynx
PLANP:0000110	abnormal cell-cell contact zone	PLANA:0000505	cell-cell contact zone
PLANP:0000111	abnormal releasing gland cell	PLANA:0007541	releasing gland cell
PLANP:0000112	abnormal testis somatic gonadal cell	PLANA:0004506	testis somatic gonadal cell
PLANP:0000113	abnormal bursal canal	PLANA:0000201	bursal canal
PLANP:0000114	abnormal lateral branch	PLANA:0000461	lateral branch
PLANP:0000115	abnormal dorsal stripe	PLANA:0000055	dorsal stripe
PLANP:0000116	abnormal embryonic structure	PLANA:0000117	embryonic structure
PLANP:0000117	abnormal epidermal progenitor cell	PLANA:0000033	epidermal progenitor cell
PLANP:0000119	abnormal chromatin	PLANA:0000534	chromatin
PLANP:0000121	abnormal Stage 4	PLANA:0000004	Stage 4
PLANP:0000122	abnormal anchor cell	PLANA:0007539	anchor cell
PLANP:0000124	abnormal klf+ sensory neuron progenitor cell	PLANA:0007551	klf+ sensory neuron progenitor cell
PLANP:0000125	abnormal optic chiasm	PLANA:0000459	optic chiasm
PLANP:0000126	abnormal primitive ectoderm cell	PLANA:0000211	primitive ectoderm cell
PLANP:0000127	abnormal oviduct epithelial cell	PLANA:0000127	oviduct epithelial cell
PLANP:0000128	abnormal male germ cell	PLANA:0000228	male germ cell
PLANP:0000129	abnormal longitudinal muscle cell	PLANA:0000071	longitudinal muscle cell
PLANP:0000130	abnormal oral opening	PLANA:0000406	oral opening
PLANP:0000131	abnormal membrane-bounded organelle	PLANA:0000526	membrane-bounded organelle
PLANP:0000132	abnormal spermatogonium	PLANA:0000220	spermatogonium
PLANP:0000135	abnormal dorsal epidermis	PLANA:0000054	dorsal epidermis
PLANP:0000136	abnormal seminal vesicle	PLANA:0000234	seminal vesicle
PLANP:0000138	abnormal extraembryonic structure	PLANA:0000063	extraembryonic structure
PLANP:0000139	abnormal Stage 3	PLANA:0000003	Stage 3
PLANP:0000140	abnormal adhesion gland	PLANA:0007538	adhesion gland
PLANP:0000143	abnormal neural progenitor	PLANA:0000012	neural progenitor
PLANP:0000144	abnormal yolk syncytium	PLANA:0000092	yolk syncytium
PLANP:0000145	abnormal plasma membrane	PLANA:0007509	plasma membrane
PLANP:0000146	abnormal cytoplasmic part	PLANA:0000513	cytoplasmic part
PLANP:0000147	abnormal unipolar neuron	PLANA:0000559	unipolar neuron
PLANP:0000149	abnormal cephalic ganglia	PLANA:0000044	cephalic ganglia
PLANP:0000150	abnormal ciliated epithelial cell	PLANA:0000106	ciliated epithelial cell
PLANP:0000151	abnormal sperm duct	PLANA:0000207	sperm duct
PLANP:0000152	abnormal anterior pole progenitor cell	PLANA:0007547	anterior pole progenitor cell
PLANP:0000153	abnormal anterior-posterior axis	PLANA:0007519	anterior-posterior axis
PLANP:0000154	abnormal plasma membrane part	PLANA:0000523	plasma membrane part
PLANP:0000155	abnormal embryonic pharynx circular muscle cell	PLANA:0004524	embryonic pharynx circular muscle cell
PLANP:0000156	abnormal submuscular nerve plexus	PLANA:0000467	submuscular nerve plexus
PLANP:0000158	abnormal female primordial germ cell	PLANA:0000135	female primordial germ cell
PLANP:0000159	abnormal photoreceptor neuron	PLANA:0000017	photoreceptor neuron
PLANP:0000160	abnormal asexual adult	PLANA:0004504	asexual adult
PLANP:0000161	abnormal gonad	PLANA:0000217	gonad
PLANP:0000164	abnormal ventral nerve cord	PLANA:0000097	ventral nerve cord
PLANP:0000165	abnormal embryonic wall	PLANA:0000060	embryonic wall
PLANP:0000166	abnormal testis nerve plexus	PLANA:0007557	testis nerve plexus
PLANP:0000167	abnormal pharynx radial muscle cell	PLANA:0000477	pharynx radial muscle cell
PLANP:0000169	abnormal clonogenic neoblast	PLANA:0000046	clonogenic neoblast
PLANP:0000170	abnormal nuclear part	PLANA:0000532	nuclear part
PLANP:0000173	abnormal sensory system	PLANA:0000125	sensory system
PLANP:0000175	abnormal gut	PLANA:0000026	gut
PLANP:0000177	abnormal dorsal ventral margin	PLANA:0000043	dorsal ventral margin
PLANP:0000179	abnormal ovary	PLANA:0000204	ovary
PLANP:0000181	abnormal GABAergic neuron	PLANA:0000464	GABAergic neuron
PLANP:0000183	abnormal electrically responsive cell	PLANA:0000539	electrically responsive cell
PLANP:0000185	abnormal pharynx pouch	PLANA:0000081	pharynx pouch
PLANP:0000186	abnormal musculature system	PLANA:0000428	musculature system
PLANP:0000187	abnormal actin-based cell projection	PLANA:0000502	actin-based cell projection
PLANP:0000188	abnormal efferent neuron	PLANA:0000548	efferent neuron
PLANP:0000191	abnormal embryonic pharynx lumen	PLANA:0007556	embryonic pharynx lumen
PLANP:0000192	abnormal non-membrane-bounded organelle	PLANA:0000531	non-membrane-bounded organelle
PLANP:0000193	abnormal parapharyngeal region	PLANA:0000420	parapharyngeal region
PLANP:0000194	abnormal oral hemisphere	PLANA:0000076	oral hemisphere
PLANP:0000196	abnormal electrically signaling cell	PLANA:0000540	electrically signaling cell
PLANP:0000198	abnormal visual system	PLANA:0000124	visual system
PLANP:0000199	abnormal nervous system	PLANA:0000025	nervous system
PLANP:0000200	abnormal nucleus	PLANA:0000529	nucleus
PLANP:0000202	abnormal anatomical system	PLANA:0000114	anatomical system
PLANP:0000205	abnormal gland cell	PLANA:0000485	gland cell
PLANP:0000206	abnormal bounding membrane of organelle	PLANA:0000521	bounding membrane of organelle
PLANP:0000207	abnormal Category 3 cell	PLANA:0000035	Category 3 cell
PLANP:0000209	abnormal gastrodermis	PLANA:0000066	gastrodermis
PLANP:0000211	abnormal non ciliated epithelial cell	PLANA:0000015	non ciliated epithelial cell
PLANP:0000212	abnormal pharynx longitudinal muscle cell	PLANA:0000241	pharynx longitudinal muscle cell
PLANP:0000213	abnormal left-right axis	PLANA:0007521	left-right axis
PLANP:0000214	abnormal trail cell	PLANA:0000095	trail cell
PLANP:0000215	abnormal blastomere	PLANA:0004517	blastomere
PLANP:0000216	abnormal oogonial cell	PLANA:0000239	oogonial cell
PLANP:0000218	abnormal Stage 8	PLANA:0000008	Stage 8
PLANP:0000219	abnormal copulatory region	PLANA:0004527	copulatory region
PLANP:0000220	abnormal Golgi apparatus	PLANA:0000528	Golgi apparatus
PLANP:0000221	abnormal spermatid	PLANA:0000222	spermatid
PLANP:0000222	abnormal definitive organism subdivision	PLANA:0000417	definitive organism subdivision
PLANP:0000226	abnormal vitelline gland	PLANA:0000231	vitelline gland
PLANP:0000228	abnormal embryonic pharynx neuron	PLANA:0004519	embryonic pharynx neuron
PLANP:0000229	abnormal membrane	PLANA:0000520	membrane
PLANP:0000230	abnormal flame cell	PLANA:0000065	flame cell
PLANP:0000232	abnormal cytoplasm	PLANA:0000510	cytoplasm
PLANP:0000233	abnormal oral-aboral axis	PLANA:0004511	oral-aboral axis
PLANP:0000234	abnormal zeta neoblast	PLANA:0000014	zeta neoblast
PLANP:0000237	abnormal juvenile	PLANA:0000214	juvenile
PLANP:0000238	abnormal central nervous system	PLANA:0000103	central nervous system
PLANP:0000239	abnormal pharynx inner circular muscle cell	PLANA:0000474	pharynx inner circular muscle cell
PLANP:0000242	abnormal motor neuron	PLANA:0000553	motor neuron
PLANP:0000243	abnormal apical surface of the epidermis	PLANA:0000409	apical surface of the epidermis
PLANP:0000245	abnormal tuba	PLANA:0000230	tuba
PLANP:0000246	abnormal posterior primary gut branch	PLANA:0000084	posterior primary gut branch
PLANP:0000248	abnormal epithelial cell component	PLANA:0000430	epithelial cell component
PLANP:0000250	abnormal spermatogonial stem cell	PLANA:0000219	spermatogonial stem cell
PLANP:0000251	abnormal ovary nerve plexus	PLANA:0007559	ovary nerve plexus
PLANP:0000252	abnormal midline	PLANA:0000030	midline
PLANP:0000254	abnormal pharynx inner nerve plexus	PLANA:0000479	pharynx inner nerve plexus
PLANP:0000256	abnormal parenchymal musculature	PLANA:0000079	parenchymal musculature
PLANP:0000258	abnormal neuron projection bundle	PLANA:0000543	neuron projection bundle
PLANP:0000261	abnormal anatomical region	PLANA:0000102	anatomical region
PLANP:0000264	abnormal Category 2 cell	PLANA:0000028	Category 2 cell
PLANP:0000265	abnormal cell-cell junction	PLANA:0000507	cell-cell junction
PLANP:0000266	abnormal TrpA+ central nervous system neuron	PLANA:0007543	TrpA+ central nervous system neuron
PLANP:0000267	abnormal smooth endoplasmic reticulum	PLANA:0007515	smooth endoplasmic reticulum
PLANP:0000268	abnormal terminally differentiated cell	PLANA:0000119	terminally differentiated cell
PLANP:0000269	abnormal basophilic gland cell	PLANA:0000488	basophilic gland cell
PLANP:0000270	abnormal primordium	PLANA:0000131	primordium
PLANP:0000271	abnormal euchromatin	PLANA:0000536	euchromatin
PLANP:0000275	abnormal proximal tubule epithelial cell	PLANA:0000111	proximal tubule epithelial cell
